"Education","num","median_income","Year"
"Total, aged 25 and older","123045","71186",2019
"No high school diploma","10310","31347",2019
"High school, no college","31071","49316",2019
"Some college","33852","65510",2019
"Bachelor's degree or higher","47812","110002",2019
"Total, aged 25 and older","124446","69228",2020
"No high school diploma","10052","29547",2020
"High school, no college","31647","47405",2020
"Some college","33646","63653",2020
"Bachelor's degree or higher","49102","106936",2020
