"Year","num_thous","total","under15_perc","15_25_perc","25_35_perc","35_50_perc","50_75_perc","75_100_perc","100_150_perc","150_200_perc","above200_perc","median_income","MOE1","mean_income","MOE2","race_cate"
"2020","129931","100","9.4","8.6999999999999993","8.1","11.6","16.5","12.2","15.3","8","10.3","67521","782","97026","1043","ALL RACES"
"2019","128451","100","8.9","8","8.3000000000000007","11.6","16.5","12.2","15.7","8.4","10.5","69560","916","99312","1055","ALL RACES"
"2018","128579","100","10","8.6999999999999993","8.4","12","16.899999999999999","12.5","15.1","7.3","9","65127","712","92796","925","ALL RACES"
"2017","127669","100","9.9","9","9.1999999999999993","12","16.3","12.2","14.9","7.3","9.1999999999999993","64557","559","92547","991","ALL RACES"
"2017","127586","100","10","9.1","9.1","11.9","16.2","12.4","15.1","7.5","8.8000000000000007","64806","582","91044","903","ALL RACES"
"2016","126224","100","10.199999999999999","9.1","9.1","12.3","16.3","12.5","15","7.4","8.1999999999999993","63683","774","89683","832","ALL RACES"
"2015","125819","100","10.5","9.6999999999999993","9.6999999999999993","11.9","16.2","12.4","15","7.2","7.4","61748","577","86601","724","ALL RACES"
"2014","124587","100","11.3","10.1","9.5","12.6","16.5","12.1","14.1","6.7","7","58725","706","82892","803","ALL RACES"
"2013","123931","100","11.3","10.199999999999999","9.3000000000000007","12","17.2","12","14.1","6.7","7.2","59640","1197","83691","1216","ALL RACES"
"2013","122952","100","11.2","10.4","9.6999999999999993","12.3","17.5","12.4","13.9","6.4","6.2","57808","505","80849","914","ALL RACES"
"2012","122459","100","11.3","10.5","9.9","12.6","17.2","12.2","14","6.3","6.1","57623","388","80503","782","ALL RACES"
"2011","121084","100","11.2","10.3","10.1","13.1","17.100000000000001","11.9","13.9","6.3","6","57732","476","80366","698","ALL RACES"
"2010","119927","100","11.1","10.6","9.4","13.1","16.8","12.2","14.3","6.3","6.1","58627","636","80180","705","ALL RACES"
"2009","117538","100","10.3","9.9","9.4","13.4","17.3","12.5","14.5","6.5","6.2","60200","424","82210","483","ALL RACES"
"2008","117181","100","10.3","9.8000000000000007","9.5","13.1","17.100000000000001","12.4","15.1","6.5","6.2","60624","272","82464","480","ALL RACES"
"2007","116783","100","9.5","9.6","9.4","12.1","17.399999999999999","12.8","15.6","7","6.6","62865","288","84611","486","ALL RACES"
"2006","116011","100","9.5","9.4","9.4","12.7","17.600000000000001","12.7","15.2","6.8","6.7","62033","438","85673","544","ALL RACES"
